Ticker,Price,Market Cap,No of Shares to Buy
ETR,110.78,23418481117.0,N/A
EVRG,62.78,14413229153.0,N/A
EW,82.425,49957813436.0,N/A
EXC,43.41,43155050075.0,N/A
EXPD,109.0,16835723838.0,N/A
EXPE,90.58,13389977812.0,N/A
EXR,164.88,22260000326.0,N/A
F,12.945,50862303630.0,N/A
FANG,145.58,26727080241.0,N/A
FAST,52.935,30223803755.0,N/A
FB,196.64,561210585170.0,N/A
FBHS,57.62,,N/A
FCX,41.19,58930273050.0,N/A
FDX,232.18,58358892733.0,N/A
FE,41.55,23776787395.0,N/A
FFIV,145.6,8753565475.0,N/A
FIS,55.77,33012241329.0,N/A
FISV,114.7,71915920921.0,N/A
FITB,26.435,18003664975.0,N/A
FLIR,57.34,7565007314.0,N/A
FLS,32.85,4307223935.0,N/A
FLT,213.13,15663263003.0,N/A
FMC,120.19,15040789937.0,N/A
FOX,31.57,17699574362.0,N/A
FOXA,34.32,17687523694.0,N/A
FRC,14.16,2543798844.0,N/A
FRT,98.04,7975865767.0,N/A
FTI,13.46,5940005868.0,N/A
FTNT,66.78,52359946779.0,N/A
FTV,65.47,23123924323.0,N/A
GD,229.66,63090755002.0,N/A
GE,94.58,103118959519.0,N/A
GILD,82.85,103464409991.0,N/A
GIS,87.37,51317161617.0,N/A
GL,108.47,10469649900.0,N/A
GLW,35.155,29784433367.0,N/A
GM,35.53,49551460640.0,N/A
GOOG,105.65,1256769962191.0,N/A
GOOGL,104.985,1254843213896.0,N/A
GPC,166.57,23454546968.0,N/A
GPN,105.36,27792325122.0,N/A
GPS,10.155,3718880169.0,N/A
GRMN,98.87,18919711985.0,N/A
GS,326.79,109080808574.0,N/A
GWW,652.93,32818027976.0,N/A
HAL,33.76,30481204223.0,N/A
HAS,52.995,7324961322.0,N/A
HBAN,11.385,16504113203.0,N/A
HBI,5.17,1806699328.0,N/A
HCA,273.24,75757044445.0,N/A
HD,292.92,296631001722.0,N/A
HES,144.14,44132846315.0,N/A
HIG,70.97,22170551578.0,N/A
HII,210.27,8395186401.0,N/A
HLT,141.775,37683225490.0,N/A
HOLX,83.15,20500717812.0,N/A
HON,192.83,128367334786.0,N/A
HPE,16.075,20831094304.0,N/A
HPQ,30.12,29678081830.0,N/A
HRB,34.26,5217013069.0,N/A
HRL,40.49,22129118052.0,N/A
HSIC,84.815,11134811325.0,N/A
HST,16.355,11668949945.0,N/A
HSY,259.88,53296190400.0,N/A
HUM,532.99,66610234973.0,N/A
HWM,42.78,17616984574.0,N/A
IBM,130.51,118386353292.0,N/A
ICE,107.09,59938794314.0,N/A
IDXX,476.795,39561028573.0,N/A
IEX,221.91,16769955284.0,N/A
IFF,92.53,23601393554.0,N/A
ILMN,229.1,36197800000.0,N/A
INCY,73.84,16463736929.0,N/A
INFO,108.61,45801486922.0,N/A
INTC,32.65,135073050000.0,N/A
INTU,437.18,122649272529.0,N/A
IP,36.715,12826962887.0,N/A
IPG,37.46,14426135903.0,N/A
IPGP,116.77,5523756507.0,N/A
IQV,199.16,37071882985.0,N/A
IR,55.965,22663401436.0,N/A
IRM,53.02,15459261592.0,N/A
ISRG,261.67,91651751022.0,N/A
IT,316.45,25018725288.0,N/A
ITW,231.16,70462449406.0,N/A
IVZ,16.18,7357436553.0,N/A
J,114.63,14525240263.0,N/A
JBHT,175.62,18224151677.0,N/A
JCI,57.29,35415283332.0,N/A
JKHY,149.9,10941309977.0,N/A
JNJ,165.26,515585179482.0,N/A
JNPR,33.615,10801970156.0,N/A
JPM,128.25,375959873891.0,N/A
K,68.555,23316241050.0,N/A
KEY,12.24,11320277440.0,N/A
KEYS,157.075,27981140544.0,N/A
KHC,39.31,48233327781.0,N/A
KIM,19.29,11957713034.0,N/A
KLAC,381.835,52876420687.0,N/A
KMB,135.95,45876837856.0,N/A
KMI,17.875,40183412609.0,N/A
KMX,72.46,11450382738.0,N/A
KO,62.605,270848358394.0,N/A
KR,48.025,34456378224.0,N/A
KSS,24.12,2671164142.0,N/A
KSU,293.59,26710947380.0,N/A
L,56.77,13106845451.0,N/A
LB,79.92,21957908112.0,N/A
LDOS,92.65,12695550346.0,N/A
LEG,31.255,4159215556.0,N/A
LEN,105.47,29965096888.0,N/A
LH,232.8,20603019065.0,N/A
LHX,199.4,37877332082.0,N/A
LIN,359.69,0.0,N/A
LKQ,56.21,15024353868.0,N/A
LLY,366.77,348540120036.0,N/A
LMT,492.63,125383667383.0,N/A
LNC,21.14,3577331707.0,N/A
LNT,55.17,13868955469.0,N/A
LOW,201.43,120124041653.0,N/A
LRCX,508.0,68547594172.0,N/A
LUV,32.595,19390959897.0,N/A
LVS,56.53,43204261451.0,N/A
LW,107.71,15693795828.0,N/A
LYB,96.19,31306824730.0,N/A
LYV,70.32,16285496981.0,N/A
MA,361.46,341841035580.0,N/A
MAA,149.86,17473503511.0,N/A
MAR,163.85,50485651902.0,N/A
MAS,48.32,10891133609.0,N/A
MCD,285.13,208571725639.0,N/A
MCHP,81.08,44415291329.0,N/A
MCK,369.35,50578503492.0,N/A
MCO,298.855,54770851018.0,N/A
MDLZ,70.685,96354542964.0,N/A
MDT,81.06,107844145770.0,N/A
MET,60.19,29761948506.0,N/A
MGM,43.32,16153678668.0,N/A
MHK,99.21,6317652124.0,N/A
MKC,86.38,23170738691.0,N/A
MKTX,338.68,12737265069.0,N/A
MLM,344.05,21366726722.0,N/A
MMC,169.67,83997061291.0,N/A
MMM,104.24,57485115843.0,N/A
MNST,52.26,27301113049.0,N/A
MO,45.055,80474792711.0,N/A
MOS,45.91,15448105086.0,N/A
MPC,132.315,58952539000.0,N/A
MRK,113.21,287292312381.0,N/A
MRO,25.995,16367861033.0,N/A
MS,85.17,142435521749.0,N/A
MSCI,531.055,42463151958.0,N/A
MSFT,282.52,2103023374143.0,N/A
MSI,283.04,47338460096.0,N/A
MTB,117.59,19760303132.0,N/A
MTD,1520.69,33561731707.0,N/A
MU,63.26,69231386834.0,N/A
MXIM,103.14,27699922819.0,N/A
MYL,15.855,8586211830.0,N/A
NBL,8.45,4095292500.0,N/A
NCLH,13.605,5740355759.0,N/A
NDAQ,54.54,26670221220.0,N/A
NEE,78.245,158319686322.0,N/A
NEM,50.835,40352521142.0,N/A
NFLX,340.31,150347259172.0,N/A
NI,28.62,11805977357.0,N/A
NKE,122.785,191544600000.0,N/A
NLOK,21.62,12352934758.0,N/A
NLSN,27.98,10068164861.0,N/A
NOC,473.53,71998869419.0,N/A
NOV,18.32,7213088258.0,N/A
NOW,465.69,94535070000.0,N/A
NRG,35.755,8304809667.0,N/A
NSC,204.45,50693154036.0,N/A
NTAP,65.55,14021453806.0,N/A
NTRS,89.065,18503329544.0,N/A
NUE,149.89,37763063564.0,N/A
NVDA,272.89,674038300000.0,N/A
NVR,5569.98,18088627020.0,N/A
NWL,12.52,5184873871.0,N/A
NWS,17.65,10106163974.0,N/A
NWSA,17.495,10098012844.0,N/A
O,61.95,40920369182.0,N/A
ODFL,338.35,37227442591.0,N/A
OKE,66.51,29759217906.0,N/A
OMC,94.41,19015037946.0,N/A
ORCL,93.815,253281924630.0,N/A
ORLY,874.35,54063871535.0,N/A
OTIS,79.98,33051155705.0,N/A
OXY,64.45,57883520644.0,N/A
PAYC,294.25,17745004896.0,N/A
PAYX,108.68,39180105078.0,N/A
PBCT,19.41,8371850392.0,N/A
PCAR,70.78,36986441272.0,N/A
PEAK,21.925,11992813632.0,N/A
PEG,63.33,31587098400.0,N/A
PEP,183.735,253060908136.0,N/A
PFE,41.915,236585125213.0,N/A
PFG,75.26,18286651244.0,N/A
PG,151.34,357032867489.0,N/A
PGR,149.54,87535698634.0,N/A
PH,320.02,41047694921.0,N/A
PHM,59.78,13409315346.0,N/A
PKG,143.9,12934251479.0,N/A
PKI,134.38,16987242544.0,N/A
PLD,123.19,113759762630.0,N/A
PM,99.26,154066197278.0,N/A
PNC,121.94,48737242468.0,N/A
PNR,53.84,8880380583.0,N/A
PNW,80.655,9134298603.0,N/A
PPG,140.98,33180768443.0,N/A
PPL,28.87,21267889645.0,N/A
PRGO,36.705,4959186416.0,N/A
PRU,85.52,31383628709.0,N/A
PSA,312.21,54885061853.0,N/A
PSX,106.495,49403792578.0,N/A
PVH,87.92,5513705244.0,N/A
PWR,162.94,23463445055.0,N/A
PXD,220.01,51703263702.0,N/A
PYPL,73.56,83223819801.0,N/A
QCOM,124.37,138672550000.0,N/A
QRVO,95.17,9506456116.0,N/A
RCL,63.31,16166252627.0,N/A
RE,363.995,14253037754.0,N/A
REG,60.54,10370981901.0,N/A
REGN,824.59,88649515422.0,N/A
RF,18.44,17233317269.0,N/A
RHI,74.88,8064463455.0,N/A
RJF,92.2,19855411158.0,N/A
RL,118.22,8012951600.0,N/A
RMD,222.56,32696158957.0,N/A
ROK,276.95,31788998697.0,N/A
ROL,38.95,19192388226.0,N/A
ROP,437.385,46469214836.0,N/A
ROST,105.35,36035153443.0,N/A
RSG,135.36,42806730312.0,N/A
RTX,100.3,146759768920.0,N/A
SBAC,261.85,28290000367.0,N/A
SBUX,106.025,121854532500.0,N/A
SCHW,51.95,93065743185.0,N/A
SEE,47.055,6794045257.0,N/A
SHW,225.83,58276019561.0,N/A
SIVB,106.04,6277666087.0,N/A
SJM,156.925,16733868894.0,N/A
SLB,50.865,72644860800.0,N/A
SLG,24.04,1547346836.0,N/A
SNA,238.19,12654754112.0,N/A
SNPS,381.5,58103089776.0,N/A
SO,71.81,78194477663.0,N/A
SPG,110.02,35947017893.0,N/A
SPGI,342.59,114082470000.0,N/A
SRE,154.5,48613431180.0,N/A
STE,194.77,19337630963.0,N/A
STT,78.35,26361518696.0,N/A
STX,66.68,13920116800.0,N/A
STZ,228.13,42089578700.0,N/A
SWK,78.84,12066874491.0,N/A
SWKS,111.48,17742393385.0,N/A
SYF,29.425,12607063480.0,N/A
SYK,290.645,110189909040.0,N/A
SYY,78.06,39623569723.0,N/A
T,19.81,141245300000.0,N/A
TAP,54.17,11014759602.0,N/A
TDG,734.17,40084260647.0,N/A
TDY,437.775,20573346444.0,N/A
TEL,125.7,39778596631.0,N/A
TFC,33.405,44366519406.0,N/A
TFX,265.565,12472461523.0,N/A
TGT,170.09,78303311229.0,N/A
TIF,131.46,15960711882.0,N/A
TJX,78.18,90107839573.0,N/A
TMO,578.68,223195865625.0,N/A
TMUS,149.76,182614814554.0,N/A
TPR,40.75,9620082086.0,N/A
TROW,112.29,25210643934.0,N/A
TRV,173.46,40064650647.0,N/A
TSCO,240.42,26421034998.0,N/A
TSN,62.03,22307848900.0,N/A
TT,172.87,39600147711.0,N/A
TTWO,120.89,20391063811.0,N/A
TWTR,53.7,41093718362.0,N/A
TXN,180.4,163479525418.0,N/A
TXT,68.75,14001642050.0,N/A
TYL,351.01,14705680836.0,N/A
UA,8.22,3529446866.0,N/A
UAA,9.13,3540529264.0,N/A
UAL,43.905,14361018033.0,N/A
UDR,40.665,13385519449.0,N/A
UHS,131.51,9596317841.0,N/A
ULTA,527.24,26464858724.0,N/A
UNH,519.75,484847021390.0,N/A
UNM,39.49,7791147247.0,N/A
UNP,198.92,121391598172.0,N/A
UPS,192.16,166202673241.0,N/A
URI,372.58,25851477831.0,N/A
USB,35.485,54355550585.0,N/A
V,226.45,428084380056.0,N/A
VAR,177.07,16261898618.0,N/A
VFC,22.17,8616522320.0,N/A
VLO,136.73,50747453806.0,N/A
VMC,167.39,22272395328.0,N/A
VNO,15.445,2963596099.0,N/A
VRSK,191.46,27657665805.0,N/A
VRSN,212.22,22257486532.0,N/A
VRTX,322.95,83188488010.0,N/A
VTR,44.685,17876390513.0,N/A
VZ,39.545,166089000000.0,N/A
WAB,99.545,17916675412.0,N/A
WAT,302.0,17800957234.0,N/A
WBA,36.22,31250460978.0,N/A
WDC,37.985,12129458895.0,N/A
WEC,98.45,31054529577.0,N/A
WELL,74.63,36616760974.0,N/A
WFC,39.285,148382895402.0,N/A
WHR,133.3,7266255249.0,N/A
WM,163.255,66406779889.0,N/A
WMB,30.11,36698423147.0,N/A
WMT,150.705,406248827383.0,N/A
WRB,63.195,16648490256.0,N/A
WRK,30.595,7791071301.0,N/A
WST,356.89,26506198173.0,N/A
WU,11.215,4199148057.0,N/A
WY,30.775,22554750685.0,N/A
WYNN,108.47,12331049877.0,N/A
XEL,70.9,38984154711.0,N/A
XLNX,194.92,48414620999.0,N/A
XOM,115.38,469710247915.0,N/A
XRAY,40.76,8778151411.0,N/A
XRX,14.8,2315229668.0,N/A
XYL,102.89,18583765648.0,N/A
YUM,131.53,36842587220.0,N/A
ZBH,131.03,27382682944.0,N/A
ZBRA,302.945,15571173359.0,N/A
ZION,29.87,4423718862.0,N/A
ZTS,171.6,79375106382.0,N/A
